編號,國文,英文,數學,自然,社會
1,88,73,67,92,83
2,87,50,51,90,71
3,51,63,52,94,80
4,56,82,57,92,76
5,54,66,99,70,95
6,85,57,96,56,83
7,75,75,80,95,60
8,98,81,80,98,57
9,91,64,65,92,73
10,69,94,63,78,73
11,75,87,63,80,52
12,92,93,59,92,68
13,77,68,69,89,52
14,70,85,77,71,72
15,65,75,53,80,92
16,96,65,99,75,84
17,75,61,92,87,76
18,81,81,100,83,69
19,50,88,51,75,70
20,50,85,100,74,98
21,61,80,90,60,73
22,82,65,77,60,65
23,63,66,85,97,81
24,71,98,77,94,98
25,99,82,94,65,92
26,53,66,80,52,85
27,61,88,91,96,100
28,98,100,55,84,58
29,88,76,98,60,61
30,91,83,84,62,62
31,76,99,65,74,94
32,88,56,59,62,99
33,66,50,56,93,80
34,91,96,53,85,86
35,80,74,81,66,87
36,91,61,94,63,92
37,87,76,50,87,65
38,56,87,95,82,100
39,77,51,63,55,50
40,86,57,86,74,53
41,87,71,68,60,89
42,99,55,66,73,71
43,60,75,76,91,99
44,94,90,69,82,55
45,91,91,58,98,76
46,56,93,72,66,62
47,80,89,52,80,52
48,94,77,94,50,86
49,55,60,57,75,84
50,98,67,92,76,73
